YTD_return,company,symbol
-2.71%,UNIVERSAL HEALTH SERVICES B,UHS
-2.76%,NETFLIX INC,NFLX
-2.80%,WALMART INC,WMT
-2.83%,MOHAWK INDUSTRIES INC,MHK
-3.12%,JPMORGAN CHASE + CO,JPM
-3.30%,METLIFE INC,MET
-3.34%,HILTON WORLDWIDE HOLDINGS IN,HLT
-3.51%,HORMEL FOODS CORP,HRL
-3.63%,WW GRAINGER INC,GWW
-3.65%,CINCINNATI FINANCIAL CORP,CINF
-3.69%,HOME DEPOT INC,HD
-3.71%,ASSURANT INC,AIZ
-3.74%,SCHWAB (CHARLES) CORP,SCHW
-3.78%,COMCAST CORP CLASS A,CMCSA
-3.92%,ESTEE LAUDER COMPANIES CL A,EL
-3.93%,IQVIA HOLDINGS INC,IQV
-3.98%,PPG INDUSTRIES INC,PPG
-4.01%,ELECTRONIC ARTS INC,EA
-4.02%,SIMON PROPERTY GROUP INC,SPG
-4.06%,CORPAY INC,CPAY
-4.09%,CBRE GROUP INC   A,CBRE
-4.12%,CUMMINS INC,CMI
-4.15%,OCCIDENTAL PETROLEUM CORP,OXY
-4.20%,DR HORTON INC,DHI
-4.23%,CITIGROUP INC,C
-4.27%,MERCK + CO. INC.,MRK
-4.30%,JUNIPER NETWORKS INC,JNPR
-4.35%,UNITED PARCEL SERVICE CL B,UPS
-4.47%,PALO ALTO NETWORKS INC,PANW
-4.60%,KINDER MORGAN INC,KMI
-4.63%,PARKER HANNIFIN CORP,PH
-4.64%,LEIDOS HOLDINGS INC,LDOS
-4.69%,ACCENTURE PLC CL A,ACN
-4.82%,KEYSIGHT TECHNOLOGIES IN,KEYS
-4.84%,CATERPILLAR INC,CAT
-4.88%,MOODY S CORP,MCO
-4.93%,WELLS FARGO + CO,WFC
-4.99%,INTL FLAVORS + FRAGRANCES,IFF
-5.02%,CSX CORP,CSX
-5.07%,UNITEDHEALTH GROUP INC,UNH
-5.14%,CHARLES RIVER LABORATORIES,CRL
